'50s	NN	a2	1.3	1
'60s	NN	a2	0.9	1
'70s	NN	a2	0.2	1
'80s	NN	a2	0.2	1
'90s	NN	a2	0.1	1
-hour_day	NN	c1	0.1	4
-hour_flight	NN	b2	0.7	3
-hour_journey	NN	a2	0.0	1
-hour_supermarket	NN	a1	0.2	0
-mile_flight	NN	a2	0.0	1
-o'clock_bell	NN	b2	0.2	3
-o'clock_bus	NN	b2	0.1	3
-o'clock_news	NN	b2	0.7	3
-o'clock_train	NN	b2	0.1	3
-piece_group	NN	b1	0.2	2
-rupee-a-year_school	NN	b2	0.2	3
-seat_restaurant	NN	b1	0.1	2
0.	WP	c1	0.1	4
10th	JJ	a1	1.2	0
11th	NN	b2	0.2	3
12th	JJ	a1	1.8	0
13th	JJ	a2	2.0	1
14th	JJ	a2	2.2	1
15th	NN	a2	1.5	1
15th-century	JJ	b1	0.2	2
16-seater	NN	b2	0.1	3
16th	NN	b1	0.6	2
17th	JJ	a2	2.7	1
17th-century	JJ	c1	0.2	4
1800s	NN	c1	0.0	4
18th	JJ	a2	0.4	1
18th-century	JJ	a2	0.2	1
1900s	NN	a2	0.2	1
1920s	NN	a2	0.0	1
1930s	NN	a2	3.4	1
1940s	NN	a2	3.3	1
1950s	NN	a1	4.9	0
1960s	NN	b1	5.3	2
1970s	NN	a1	2.9	0
1980s	NN	a2	5.9	1
1990s	NN	a2	8.2	1
19th	JJ	a1	5.6	0
19th-century	JJ	a2	0.1	1
2030s	NN	a2	0.1	1
20s	NN	c1	0.5	4
20th	JJ	b1	2.7	2
20th-century	JJ	b1	0.1	2
22nd	NN	a2	0.5	1
23rd	JJ	a1	0.5	0
25th	NN	b2	0.0	3
26th	NN	b1	0.0	2
27th	NN	b1	1.0	2
28th	JJ	b1	0.2	2
29th	NN	b2	0.4	3
2nd	NN	b2	0.2	3
3-bed_house	NN	a2	0.2	1
30s	NN	c1	0.0	4
30th	JJ	a2	0.5	1
360-degree_view	NN	c1	0.0	4
3d_picture	NN	b1	0.1	2
3rd	JJ	b1	0.7	2
40s	NN	c1	0.2	4
43rd	JJ	b2	0.2	3
4th	NN	a2	0.0	1
4x4	NN	a1	0.0	0
50s	NN	c1	0.2	4
5th	JJ	b1	1.4	2
60s	NN	a2	0.7	1
60th	NN	b1	0.2	2
6th	NN	b1	0.8	2
70s	NN	a2	0.7	1
70th	JJ	b2	0.2	3
7th	JJ	b1	1.4	2
80s	NN	a2	0.7	1
8th	JJ	a2	0.6	1
90th	JJ	a2	0.0	1
93rd	JJ	b1	0.1	2
9th	JJ	b1	0.1	2
a	DT	a1	25230.6	0
a.m.	RB	a1	41.1	0
aaagh	UH	a2	0.0	1
abacus	NN	c1	0.2	4
abandon	VB	b1	17.5	2
abduct	VB	b2	0.2	3
ability	NN	a2	28.9	1
able	JJ	a1	218.9	0
aboard	IN	b2	0.2	3
abolish	VB	c1	0.2	4
aboriginal	JJ	b1	0.1	2
about	IN	a1	3310.6	0
above	IN	a1	129.2	0
abroad	RB	a2	24.7	1
abruptly	RB	b2	1.7	3
absence	NN	b1	3.4	2
absent	JJ	b1	1.5	2
absent-mindedly	RB	b2	0.2	3
absenteeism	NN	b1	0.1	2
absolute	JJ	c1	1.0	4
absolutely	RB	a2	53.5	1
absorb	VB	b2	3.3	3
abstract	JJ	b2	1.3	3
absurd	JJ	b2	0.7	3
absurdly	RB	b1	0.6	2
abundant	JJ	c1	0.2	4
abuse	NN	c1	0.2	4
academia	NN	b2	0.0	3
